0.0000,0.0000,0.0000,0.50
0.0545,0.0000,0.0000,0.50
0.1171,-0.0000,-0.0007,0.50
0.1746,-0.0001,-0.0041,0.50
-0.0382,-0.0144,0.0143,0.50
-0.2232,-0.0176,0.0264,0.50
-0.1610,-0.0161,0.0225,0.50
-0.0860,-0.0146,0.0089,0.50
-0.0331,-0.0153,-0.0443,0.50
-0.2852,-0.0934,0.2314,0.50
-0.2090,-0.0785,0.1481,0.50
-0.1436,-0.0706,0.0776,0.50
-0.0697,-0.0672,-0.0017,0.50
-0.2552,-0.0287,-0.0923,0.50
-0.1858,-0.0372,-0.1672,0.50
-0.4067,0.0304,-0.2519,0.50
-0.3470,0.0134,-0.3184,0.50
-0.5118,0.0958,-0.3983,0.50
-0.4588,0.0719,-0.4606,0.50
-0.6165,0.1734,-0.5039,0.50
-0.5693,0.1459,-0.5625,0.50
-0.6831,0.2379,-0.6381,0.50
-0.6409,0.2051,-0.6955,0.50
-0.7568,0.3258,-0.7357,0.50
-0.7074,0.2782,-0.8092,0.50
-0.6732,0.2407,-0.8635,0.50
-0.8893,0.4316,-0.8973,0.50
-0.8483,0.3768,-0.9706,0.50
-0.8181,0.3304,-1.0300,0.50
-0.9209,0.5237,-1.0747,0.50
-0.8971,0.4771,-1.1308,0.50
-0.8669,0.4068,-1.2127,0.50
-0.9840,0.6336,-1.1899,0.50
-0.9594,0.5659,-1.2670,0.50
-0.9406,0.4985,-1.3385,0.50
-0.9295,0.4471,-1.3841,0.50
-1.0159,0.5269,-1.1979,0.50
-1.1122,0.6103,-1.0806,0.50
-1.1425,0.6672,-1.0813,0.50
-1.1679,0.7149,-1.0818,0.50
-1.1999,0.7750,-1.0824,0.50
-1.2322,0.8357,-1.0805,0.50
-1.2645,0.8951,-1.0459,0.50
-1.0541,0.8255,-1.1887,0.50
-1.0824,0.8901,-1.1131,0.50
-0.9048,0.9568,-1.3626,0.50
-0.8815,0.9068,-1.5720,0.50
-0.8832,0.8468,-1.6362,0.50
-0.8900,0.7760,-1.7125,0.50
-0.8982,0.7256,-1.7672,0.50
-0.9189,0.6387,-1.8629,0.50
-0.9270,0.5503,-1.8606,0.50
-0.9110,0.4882,-1.7212,0.50
-0.8752,0.5757,-1.6850,0.50
-0.8832,0.5116,-1.7008,0.50
-0.8172,0.6942,-1.7081,0.50
-0.8240,0.6443,-1.7081,0.50
-0.7680,0.7627,-1.7430,0.50
-0.7787,0.7015,-1.7525,0.50
-0.7576,0.8677,-1.7602,0.50
-0.7715,0.8043,-1.8298,0.50
-0.7617,0.9629,-1.8811,0.50
-0.7805,0.9088,-1.9424,0.50
-0.7007,1.0898,-1.9474,0.50
-0.7232,1.0360,-1.9891,0.50
-0.6160,1.1836,-2.0075,0.50
-0.6406,1.1315,-2.0188,0.50
-0.6656,1.0800,-2.0295,0.50
-0.6902,1.0311,-2.0527,0.50
-0.4997,1.2718,-2.0764,0.50
-0.5272,1.2249,-2.1346,0.50
-0.5570,1.1801,-2.1923,0.50
-0.5870,1.1401,-2.2459,0.50
-0.4444,1.2226,-2.1595,0.50
-0.4748,1.1792,-2.2162,0.50
-0.5104,1.1342,-2.2777,0.50
-0.5456,1.0949,-2.3343,0.50
-0.3291,1.2422,-2.3040,0.50
-0.3642,1.2050,-2.3588,0.50
-0.4028,1.1683,-2.4158,0.50
-0.4419,1.1351,-2.4708,0.50
-0.2412,1.2912,-2.4293,0.50
-0.2975,1.2458,-2.5068,0.50
-0.1182,1.3350,-2.5721,0.50
-0.1764,1.3003,-2.6447,0.50
0.0122,1.3521,-2.7181,0.50
-0.0549,1.3245,-2.7959,0.50
0.1190,1.3403,-2.8890,0.50
0.0676,1.3283,-2.9456,0.50
0.2124,1.3501,-3.0167,0.50
0.3906,1.3261,-3.1291,0.50
0.3134,1.3279,3.0713,0.50
0.4640,1.3125,3.0181,0.50
0.4110,1.3203,2.9608,0.50
0.5637,1.2524,2.8733,0.50
0.5151,1.2669,2.8190,0.50
0.4673,1.2841,2.7646,0.50
0.6394,1.1930,2.7190,0.50
0.5937,1.2147,2.6649,0.50
0.5484,1.2394,2.6096,0.50
0.6855,1.1237,2.5425,0.50
0.6441,1.1532,2.4880,0.50
0.7475,1.0142,2.3848,0.50
0.7093,1.0520,2.3272,0.50
0.6754,1.0893,2.2875,0.50
0.7961,0.8875,2.2664,0.50
0.7571,0.9344,2.2655,0.50
0.8157,0.8424,2.2717,0.50
0.8918,0.7230,2.2798,0.50
0.9213,0.6766,2.2830,0.50
0.8798,0.7247,2.2824,0.50
0.8427,0.7677,2.2818,0.50
0.8038,0.8130,2.2812,0.50
0.7686,0.8539,2.2807,0.50
0.9439,0.6746,2.3468,0.50
