-0.2576,-0.1757,0.1326,0.50
-0.1928,-0.1671,0.1303,0.50
-0.1276,-0.1587,0.1262,0.50
-0.0520,-0.1497,0.0939,0.50
-0.2338,-0.2104,0.0683,0.50
-0.1620,-0.2077,-0.0087,0.50
-0.3774,-0.2552,0.0045,0.50
-0.3076,-0.2570,-0.0703,0.50
-0.4827,-0.2227,-0.1472,0.50
-0.6412,-0.1655,-0.2534,0.50
-0.5823,-0.1824,-0.3191,0.50
-0.7493,-0.0882,-0.3901,0.50
-0.6943,-0.1125,-0.4546,0.50
-0.7981,-0.0309,-0.5292,0.50
-0.7299,-0.0743,-0.6158,0.50
-0.8609,0.0256,-0.6608,0.50
-0.8171,-0.0101,-0.7213,0.50
-0.9399,0.1159,-0.7523,0.50
-0.9007,0.0774,-0.8111,0.50
-0.9983,0.2156,-0.8553,0.50
-0.9644,0.1749,-0.9120,0.50
-0.9333,0.1327,-0.9682,0.50
-0.9051,0.0897,-1.0233,0.50
-1.0668,0.3284,-1.0224,0.50
-1.0403,0.2828,-1.0789,0.50
-1.0164,0.2355,-1.1357,0.50
-1.0922,0.4494,-1.1817,0.50
-1.0733,0.4003,-1.2380,0.50
-1.0572,0.3500,-1.2946,0.50
-1.0403,0.2819,-1.3698,0.50
-1.1389,0.4852,-1.3019,0.50
-1.1209,0.4090,-1.3859,0.50
-1.1462,0.4958,-1.3477,0.50
-1.1361,0.4462,-1.4019,0.50
-1.1561,0.5146,-1.3841,0.50
-1.1452,0.4438,-1.4608,0.50
-1.1770,0.5126,-1.4139,0.50
-1.1680,0.4399,-1.4924,0.50
-1.1649,0.5009,-1.5577,0.50
-1.1720,0.4239,-1.7014,0.50
-1.1199,0.3792,-1.5496,0.50
-1.0841,0.5493,-1.6657,0.50
-1.0196,0.5496,-1.7853,0.50
-1.0226,0.4874,-1.8782,0.50
-0.9667,0.6754,-1.9734,0.50
-0.9399,0.7512,-1.9922,0.50
-0.8937,0.8732,-1.9753,0.50
-0.9333,0.8028,-2.1005,0.50
-0.9719,0.7413,-2.1784,0.50
-1.0251,0.6706,-2.2732,0.50
-0.8560,0.8730,-2.3315,0.50
-0.7957,0.9469,-2.3577,0.50
-0.6816,1.0513,-2.5198,0.50
-0.6325,1.0717,-2.6308,0.50
-0.5394,1.1185,-2.7805,0.50
-0.4443,1.1660,-2.8280,0.50
-0.2456,1.2081,-2.9385,0.50
-0.3242,1.1947,-3.0240,0.50
-0.2586,1.2003,-3.1080,0.50
-0.1614,1.2118,3.1229,0.50
0.0289,1.1849,3.0446,0.50
-0.0353,1.1929,2.9752,0.50
0.1756,1.1302,2.9042,0.50
0.1037,1.1501,2.8243,0.50
0.2987,1.0648,2.7686,0.50
0.2406,1.0894,2.7010,0.50
0.3313,1.0264,2.6113,0.50
0.4774,0.8938,2.4910,0.50
0.4199,0.9407,2.4114,0.50
0.5058,0.8460,2.3289,0.50
0.6022,0.7063,2.2433,0.50
0.5658,0.7545,2.1786,0.50
0.6220,0.6138,2.1003,0.50
0.5935,0.6651,2.0434,0.50
0.5603,0.7322,2.0244,0.50
0.5811,0.6367,2.0105,0.50
0.6220,0.4956,1.9958,0.50
0.5874,0.5617,1.9452,0.50
0.6219,0.4716,1.8855,0.50
0.6898,0.3004,1.8340,0.50
0.6775,0.3502,1.7792,0.50
0.6678,0.4015,1.7250,0.50
0.7095,0.2567,1.7474,0.50
0.7336,0.1696,1.7711,0.50
0.7229,0.2223,1.7710,0.50
0.7085,0.0484,1.7280,0.50
0.7025,-0.0476,1.7047,0.50
0.6949,0.0092,1.7046,0.50
0.6873,0.0654,1.7045,0.50
0.6805,0.1160,1.7044,0.50
0.7374,-0.1019,1.7533,0.50
0.7612,-0.1908,1.7741,0.50
0.7499,-0.1359,1.7740,0.50
0.7377,-0.0767,1.7739,0.50
0.7643,-0.1811,1.7804,0.50
0.8224,-0.4166,1.7922,0.50
