# x,y,yaw
1.1746,8.6116,2.6766
1.0618,8.6688,2.6452
0.9610,8.7290,2.5857
0.8355,8.5070,2.5298
0.7473,8.5767,2.4123
0.6557,8.6702,2.2720
0.5938,8.7516,2.1624
0.5303,8.8609,2.0269
0.3007,8.6587,1.6960
0.2930,8.7697,1.5768
0.2993,8.8863,1.4516
0.2154,8.6862,1.7231
0.2046,8.8020,1.5984
0.2077,8.9112,1.4812
0.1952,8.7132,1.7083
0.1861,8.8434,1.5683
0.1926,8.9546,1.4489
0.3320,8.7652,1.7458
0.3184,8.8827,1.6189
0.3201,9.0041,1.4899
0.3306,9.1132,1.4439
0.3514,9.2280,1.3619
0.3042,9.0536,1.7057
0.2957,9.1540,1.5976
0.3003,9.2787,1.4638
0.3199,9.3949,1.3375
0.3529,9.5048,1.2145
0.4031,9.6177,1.0820
0.5585,9.6804,0.7851
0.6364,9.7505,0.6729
0.7432,9.8246,0.5336
0.8355,9.8728,0.4219
0.9337,9.9107,0.3091
1.0025,10.1674,-0.0463
1.1083,10.1568,-0.1603
1.2101,10.1349,-0.2719
1.3132,10.0999,-0.3886
1.4223,10.0472,-0.5185
1.3889,9.9509,-0.4675
1.2638,9.7648,-0.3122
1.3739,9.7218,-0.4389
1.4790,9.6644,-0.5673
1.5670,9.6027,-0.6325
1.6688,9.5270,-0.6768
1.7207,9.4185,-0.6574
