# x,y,yaw
-0.8176,-1.2761,1.7674
-0.8602,-1.1251,1.9245
-0.9260,-0.9826,2.0816
-1.0132,-0.8522,2.2387
-1.1197,-0.7370,2.3957
-1.2430,-0.6398,2.5528
-1.3799,-0.5632,2.7099
-1.5272,-0.5089,2.8670
-1.6811,-0.4784,3.0241
-1.8379,-0.4722,-3.1020
-1.9937,-0.4907,-2.9450
-2.1447,-0.5334,-2.7879
-2.2872,-0.5991,-2.6308
-2.4176,-0.6863,-2.4737
-2.5328,-0.7929,-2.3166
-2.6300,-0.9161,-2.1596
-2.7066,-1.0531,-2.0025
-2.7609,-1.2003,-1.8454
-2.7914,-1.3542,-1.6883
-2.7975,-1.5110,-1.5312
-2.7791,-1.6668,-1.3742
-2.7364,-1.8178,-1.2171
-2.6707,-1.9603,-1.0600
-2.5835,-2.0908,-0.9029
-2.4769,-2.2060,-0.7459
-2.3537,-2.3031,-0.5888
-2.2167,-2.3797,-0.4317
-2.0695,-2.4340,-0.2746
-1.9156,-2.4646,-0.1175
-1.7588,-2.4707,0.0395
-1.6030,-2.4522,0.1966
-1.4520,-2.4096,0.3537
-1.3095,-2.3438,0.5108
-1.1790,-2.2566,0.6679
-1.0638,-2.1501,0.8249
-0.9667,-2.0268,0.9820
-0.8901,-1.8899,1.1391
-0.8358,-1.7426,1.2962
-0.8052,-1.5887,1.4533
-0.7991,-1.4319,1.6103
