# x,y,yaw
1.0477,-1.0595,-1.5753
1.0444,-0.9345,-1.5117
1.0362,-0.8087,-1.4926
1.0207,-0.6924,-1.3718
0.9873,-0.5690,-1.2347
0.9468,-0.4691,-1.1450
1.1462,-0.6106,-1.4484
1.1210,-0.4783,-1.3085
1.0864,-0.3711,-1.2026
1.0458,-0.2759,-1.1157
0.9824,-0.1652,-0.9789
1.0412,-0.2852,-1.2325
1.0022,-0.1901,-1.1224
0.9503,-0.0956,-1.0068
0.8877,-0.0075,-0.8909
0.8183,0.0697,-0.7797
0.6029,0.1371,-0.7682
0.4997,0.2239,-0.6236
0.4122,0.2802,-0.5120
0.5596,0.1951,-0.7976
0.4788,0.2693,-0.6801
0.3890,0.3340,-0.5614
0.3601,0.2040,-0.8545
0.2829,0.2834,-0.7358
0.1978,0.3527,-0.6276
0.1038,0.4155,-0.5736
0.0083,0.4753,-0.5125
-0.0432,0.5675,-0.1464
-0.1500,0.5795,-0.0825
-0.2508,0.5832,0.0190
-0.3707,0.5737,0.1447
-0.5032,0.5453,0.2883
-0.6222,0.5496,0.2602
-0.7514,0.5452,0.1679
-0.8835,0.5649,0.0637
-0.9891,0.5525,0.1777
-1.1202,0.5195,0.3226
-1.2601,0.2254,0.7372
-1.2663,0.0930,0.8687
-1.3303,0.0087,0.9822
-1.3856,-0.0847,1.0883
-1.2554,0.2065,0.7254
