# x,y,yaw
0.1254,-0.0001,-0.0013
0.0224,-0.0005,0.0330
-0.0842,-0.0085,0.0957
-0.1854,-0.0183,0.0955
-0.2930,-0.0294,0.1369
-0.4006,-0.0500,0.2543
-0.4995,-0.0810,0.3654
-0.5932,-0.1224,0.4751
-0.6808,-0.1730,0.5836
-0.7650,-0.2351,0.6957
-0.8404,-0.3047,0.8057
-0.9120,-0.3877,0.9232
-0.9709,-0.4744,1.0355
-1.0184,-0.5643,1.1446
-1.0565,-0.6607,1.2556
-1.0849,-0.7668,1.3734
-1.0999,-0.8664,1.4813
-1.1040,-0.9686,1.5909
-1.0960,-1.0771,1.7076
-1.0773,-1.1769,1.8164
-1.0452,-1.2810,1.9331
-1.0011,-1.3811,2.0504
-0.9500,-1.4731,2.0860
-0.9995,-1.3857,2.0860
-1.0502,-1.2962,2.0854
-0.9881,-1.3895,2.2131
-0.9241,-1.4732,2.2274
-0.8572,-1.5599,2.2281
-0.7934,-1.6422,2.2510
-0.7216,-1.7223,2.3640
-0.6432,-1.7938,2.4209
-0.5599,-1.8626,2.5064
-0.4732,-1.9225,2.5694
-0.3860,-1.9731,2.6719
-0.2935,-2.0148,2.7751
-0.1902,-2.0486,2.8857
-0.0923,-2.0695,2.9874
0.0145,-2.0807,3.0967
0.1212,-2.0802,-3.0780
0.2265,-2.0683,-2.9702
0.3302,-2.0451,-2.8622
0.4302,-2.0110,-2.7547
0.5232,-1.9679,-2.6505
0.6127,-1.9144,-2.5444
0.6975,-1.8504,-2.4364
0.7736,-1.7789,-2.3302
0.8427,-1.6986,-2.2224
0.9010,-1.6142,-2.1181
0.9509,-1.5227,-2.0121
0.9910,-1.4260,-1.9057
1.0205,-1.3258,-1.7994
1.0393,-1.2229,-1.6931
1.0472,-1.1140,-1.5901
