-2.0843,-1.2371,-2.3407,1.3324
-2.0474,-1.2693,-2.2361,1.3382
-2.0066,-1.2980,-2.1359,1.3474
-1.9632,-1.3228,-2.0435,1.3666
-1.9180,-1.3434,-1.9557,1.3894
-1.8707,-1.3603,-1.8706,1.4131
-1.8227,-1.3730,-1.7882,1.4356
-1.7734,-1.3818,-1.7070,1.4573
-1.7238,-1.3865,-1.6267,1.4763
-1.6739,-1.3873,-1.5469,1.4934
-1.6240,-1.3842,-1.4730,1.5070
-1.5745,-1.3782,-1.4311,1.5500
-1.5250,-1.3708,-1.4193,1.6369
-1.4758,-1.3633,-1.4207,1.5812
-1.4264,-1.3560,-1.4266,1.4642
-1.3771,-1.3482,-1.3918,1.4094
-1.3283,-1.3374,-1.3104,1.3866
-1.2809,-1.3226,-1.2226,1.3636
-1.2344,-1.3032,-1.1299,1.3408
-1.1912,-1.2803,-1.0346,1.3244
-1.1492,-1.2522,-0.9269,1.3174
-1.1114,-1.2204,-0.8163,1.3168
-1.0774,-1.1846,-0.7015,1.3165
-1.0475,-1.1447,-0.5861,1.3163
-1.0224,-1.1018,-0.4719,1.3161
-1.0023,-1.0563,-0.3593,1.3171
-0.9874,-1.0088,-0.2491,1.3216
-0.9778,-0.9601,-0.1423,1.3287
-0.9733,-0.9105,-0.0380,1.3380
-0.9740,-0.8605,0.0640,1.3490
-0.9796,-0.8112,0.1632,1.3608
-0.9901,-0.7626,0.2604,1.3732
-1.0052,-0.7150,0.3562,1.3856
-1.0247,-0.6693,0.4492,1.3984
-1.0483,-0.6256,0.5405,1.4115
-1.0760,-0.5838,0.6314,1.4236
-1.1067,-0.5454,0.7176,1.4372
-1.1414,-0.5090,0.8025,1.4520
-1.1783,-0.4761,0.8818,1.4698
-1.2182,-0.4458,0.9594,1.4902
-1.2599,-0.4188,1.0336,1.5109
-1.3038,-0.3948,1.1070,1.5313
-1.3491,-0.3741,1.1784,1.5505
-1.3960,-0.3567,1.2498,1.5685
-1.4437,-0.3426,1.3199,1.5844
-1.4925,-0.3319,1.3903,1.5990
-1.5418,-0.3247,1.4602,1.6010
-1.5915,-0.3209,1.5303,1.5881
-1.6415,-0.3207,1.6009,1.5745
-1.6910,-0.3239,1.6716,1.5585
-1.7408,-0.3308,1.7439,1.5422
-1.7891,-0.3410,1.8164,1.5244
-1.8375,-0.3551,1.8919,1.5065
-1.8837,-0.3724,1.9680,1.4892
-1.9294,-0.3938,2.0487,1.4736
-1.9723,-0.4183,2.1316,1.4630
-2.0134,-0.4468,2.2200,1.4570
-2.0515,-0.4785,2.3113,1.4567
-2.0865,-0.5136,2.4050,1.4565
-2.1181,-0.5519,2.4978,1.4555
-2.1461,-0.5930,2.5900,1.4542
-2.1703,-0.6366,2.6810,1.4503
-2.1904,-0.6822,2.7714,1.4447
-2.2063,-0.7295,2.8614,1.4367
-2.2179,-0.7779,2.9509,1.4276
-2.2252,-0.8272,3.0410,1.4158
-2.2279,-0.8770,3.1315,1.4025
-2.2261,-0.9269,-3.0594,1.3882
-2.2198,-0.9762,-2.9659,1.3738
-2.2087,-1.0249,-2.8693,1.3598
-2.1929,-1.0722,-2.7698,1.3483
-2.1726,-1.1174,-2.6676,1.3389
-2.1475,-1.1605,-2.5612,1.3328
-2.1182,-1.2003,-2.4525,1.3326
-2.0843,-1.2371,-2.3407,1.3324
